hofID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
wilsoha01h,1937,BBWAA,201,151,1,N,Player,
bulkemo99h,1937,Centennial,,,,Y,Pioneer/Executive,
johnsba99h,1937,Centennial,,,,Y,Pioneer/Executive,
mackco01h,1937,Centennial,,,,Y,Manager,
mcgrajo01h,1937,Veterans,,,,Y,Manager,
wrighge01h,1937,Centennial,,,,Y,Pioneer/Executive,
alexape01h,1938,BBWAA,262,197,212,Y,Player,
sislege01h,1938,BBWAA,262,197,179,N,Player,
keelewi01h,1938,BBWAA,262,197,177,N,Player,
collied01h,1938,BBWAA,262,197,175,N,Player,
wadderu01h,1938,BBWAA,262,197,148,N,Player,
chancfr01h,1938,BBWAA,262,197,133,N,Player,
delahed01h,1938,BBWAA,262,197,132,N,Player,
walshed01h,1938,BBWAA,262,197,110,N,Player,
eversjo01h,1938,BBWAA,262,197,91,N,Player,
colliji01h,1938,BBWAA,262,197,79,N,Player,
maranra01h,1938,BBWAA,262,197,73,N,Player,
bresnro01h,1938,BBWAA,262,197,67,N,Player,
clarkfr01h,1938,BBWAA,262,197,63,N,Player,
brownmo01h,1938,BBWAA,262,197,54,N,Player,
huggimi01h,1938,BBWAA,262,197,48,N,Manager,
hornsro01h,1938,BBWAA,262,197,46,N,Player,
schalra01h,1938,BBWAA,262,197,45,N,Player,
youngro01h,1938,BBWAA,262,197,40,N,Player,
planked01h,1938,BBWAA,262,197,38,N,Player,
pennohe01h,1938,BBWAA,262,197,37,N,Player,
mcginjo01h,1938,BBWAA,262,197,36,N,Player,
bendech01h,1938,BBWAA,262,197,33,N,Player,
bakerfr01h,1938,BBWAA,262,197,32,N,Player,
klingjo01h,1938,BBWAA,262,197,26,N,Player,
duffyhu01h,1938,BBWAA,262,197,24,N,Player,
jennihu01h,1938,BBWAA,262,197,23,N,Player,
jossad01h,1938,BBWAA,262,197,18,N,Player,
robinwi01h,1938,BBWAA,262,197,17,N,Manager,
tinkejo01h,1938,BBWAA,262,197,16,N,Player,
heilmha01h,1938,BBWAA,262,197,14,N,Player,
ruckena01h,1938,BBWAA,262,197,12,N,Player,
adamsba01h,1938,BBWAA,262,197,11,N,Player,
crawfsa01h,1938,BBWAA,262,197,11,N,Player,
crigelo01h,1938,BBWAA,262,197,11,N,Player,
griffcl01h,1938,BBWAA,262,197,10,N,Pioneer/Executive,
marquru01h,1938,BBWAA,262,197,10,N,Player,
vanceda01h,1938,BBWAA,262,197,10,N,Player,
roushed01h,1938,BBWAA,262,197,9,N,Player,
gowdyha01h,1938,BBWAA,262,197,8,N,Player,
rusieam01h,1938,BBWAA,262,197,8,N,Player,
tennefr02h,1938,BBWAA,262,197,8,N,Player,
altroni01h,1938,BBWAA,262,197,7,N,Player,
archeji01h,1938,BBWAA,262,197,7,N,Player,
combsea01h,1938,BBWAA,262,197,7,N,Player,
terrybi01h,1938,BBWAA,262,197,7,N,Player,
wallabo01h,1938,BBWAA,262,197,7,N,Player,
wheatza01h,1938,BBWAA,262,197,7,N,Player,
careyma01h,1938,BBWAA,262,197,6,N,Player,
woodjo02h,1938,BBWAA,262,197,6,N,Player,
donlimi01h,1938,BBWAA,262,197,5,N,Player,
lewisdu01h,1938,BBWAA,262,197,5,N,Player,
nehfar01h,1938,BBWAA,262,197,5,N,Player,
carribi02h,1938,BBWAA,262,197,4,N,Player,
dinnebi01h,1938,BBWAA,262,197,4,N,Player,
doylela01h,1938,BBWAA,262,197,4,N,Player,
hoopeha01h,1938,BBWAA,262,197,4,N,Player,
mcinnst01h,1938,BBWAA,262,197,4,N,Player,
barryja01h,1938,BBWAA,262,197,3,N,Player,
burnsge01h,1938,BBWAA,262,197,3,N,Player,
fletcar01h,1938,BBWAA,262,197,3,N,Player,
grohhe01h,1938,BBWAA,262,197,3,N,Player,
kerrdi01h,1938,BBWAA,262,197,3,N,Player,
nichoki01h,1938,BBWAA,262,197,3,N,Player,
traynpi01h,1938,BBWAA,262,197,3,N,Player,
bancrda01h,1938,BBWAA,262,197,2,N,Player,
bradlbi01h,1938,BBWAA,262,197,2,N,Player,
burkeje01h,1938,BBWAA,262,197,2,N,Player,
chesbja01h,1938,BBWAA,262,197,2,N,Player,
coombja01h,1938,BBWAA,262,197,2,N,Player,
cravaga01h,1938,BBWAA,262,197,2,N,Player,
elberki01h,1938,BBWAA,262,197,2,N,Player,
fosteed02h,1938,BBWAA,262,197,2,N,Player,
judgejo01h,1938,BBWAA,262,197,2,N,Player,
mageesh01h,1938,BBWAA,262,197,2,N,Player,
peckiro01h,1938,BBWAA,262,197,2,N,Player,
rixeyep01h,1938,BBWAA,262,197,2,N,Player,
schreos01h,1938,BBWAA,262,197,2,N,Player,
scottev01h,1938,BBWAA,262,197,2,N,Player,
stengca01h,1938,BBWAA,262,197,2,N,Manager,
beaumgi01h,1938,BBWAA,262,197,1,N,Player,
bergema01h,1938,BBWAA,262,197,1,N,Player,
chapmra01h,1938,BBWAA,262,197,1,N,Player,
coaklan01h,1938,BBWAA,262,197,1,N,Player,
coopewi01h,1938,BBWAA,262,197,1,N,Player,
covelst01h,1938,BBWAA,262,197,1,N,Player,
cranddo01h,1938,BBWAA,262,197,1,N,Player,
cruiswa01h,1938,BBWAA,262,197,1,N,Player,
dahlebi01h,1938,BBWAA,262,197,1,N,Player,
daubeja01h,1938,BBWAA,262,197,1,N,Player,
donovbi01h,1938,BBWAA,262,197,1,N,Player,
dooinre01h,1938,BBWAA,262,197,1,N,Player,
duganjo01h,1938,BBWAA,262,197,1,N,Player,
ehmkeho01h,1938,BBWAA,262,197,1,N,Player,
faberre01h,1938,BBWAA,262,197,1,N,Player,
flickel01h,1938,BBWAA,262,197,1,N,Player,
gleaski01h,1938,BBWAA,262,197,1,N,Player,
granted01h,1938,BBWAA,262,197,1,N,Player,
grimebu01h,1938,BBWAA,262,197,1,N,Player,
harribu01h,1938,BBWAA,262,197,1,N,Manager,
herzobu01h,1938,BBWAA,262,197,1,N,Player,
irwinch01h,1938,BBWAA,262,197,1,N,Player,
jonesfi01h,1938,BBWAA,262,197,1,N,Player,
lathaar01h,1938,BBWAA,262,197,1,N,Player,
loberha01h,1938,BBWAA,262,197,1,N,Player,
longhe01h,1938,BBWAA,262,197,1,N,Player,
luquedo01h,1938,BBWAA,262,197,1,N,Player,
marbefi01h,1938,BBWAA,262,197,1,N,Player,
meusebo01h,1938,BBWAA,262,197,1,N,Player,
milancl01h,1938,BBWAA,262,197,1,N,Player,
moranpa01h,1938,BBWAA,262,197,1,N,Player,
murrare01h,1938,BBWAA,262,197,1,N,Player,
perduhu01h,1938,BBWAA,262,197,1,N,Player,
ricesa01h,1938,BBWAA,262,197,1,N,Player,
sheckji01h,1938,BBWAA,262,197,1,N,Player,
shockur01h,1938,BBWAA,262,197,1,N,Player,
stahlja01h,1938,BBWAA,262,197,1,N,Player,
streega01h,1938,BBWAA,262,197,1,N,Player,
thomair01h,1938,BBWAA,262,197,1,N,Player,
willicy01h,1938,BBWAA,262,197,1,N,Player,
zimmech01h,1938,BBWAA,262,197,1,N,Player,
cartwal99h,1938,Centennial,,,,Y,Pioneer/Executive,
chadwhe99h,1938,Centennial,,,,Y,Pioneer/Executive,
sislege01h,1939,BBWAA,274,206,235,Y,Player,
collied01h,1939,BBWAA,274,206,213,Y,Player,
keelewi01h,1939,BBWAA,274,206,207,Y,Player,
wadderu01h,1939,BBWAA,274,206,179,N,Player,
hornsro01h,1939,BBWAA,274,206,176,N,Player,
chancfr01h,1939,BBWAA,274,206,158,N,Player,
delahed01h,1939,BBWAA,274,206,145,N,Player,
walshed01h,1939,BBWAA,274,206,132,N,Player,
eversjo01h,1939,BBWAA,274,206,107,N,Player,
huggimi01h,1939,BBWAA,274,206,97,N,Manager,
maranra01h,1939,BBWAA,274,206,82,N,Player,
colliji01h,1939,BBWAA,274,206,72,N,Player,
bresnro01h,1939,BBWAA,274,206,67,N,Player,
clarkfr01h,1939,BBWAA,274,206,59,N,Player,
brownmo01h,1939,BBWAA,274,206,54,N,Player,
robinwi01h,1939,BBWAA,274,206,46,N,Manager,
bendech01h,1939,BBWAA,274,206,40,N,Player,
pennohe01h,1939,BBWAA,274,206,40,N,Player,
schalra01h,1939,BBWAA,274,206,35,N,Player,
duffyhu01h,1939,BBWAA,274,206,34,N,Player,
youngro01h,1939,BBWAA,274,206,34,N,Player,
jennihu01h,1939,BBWAA,274,206,33,N,Player,
mcginjo01h,1939,BBWAA,274,206,32,N,Player,
bakerfr01h,1939,BBWAA,274,206,30,N,Player,
cochrmi01h,1939,BBWAA,274,206,28,N,Player,
jossad01h,1939,BBWAA,274,206,28,N,Player,
planked01h,1939,BBWAA,274,206,28,N,Player,
friscfr01h,1939,BBWAA,274,206,26,N,Player,
griffcl01h,1939,BBWAA,274,206,20,N,Pioneer/Executive,
terrybi01h,1939,BBWAA,274,206,16,N,Player,
vanceda01h,1939,BBWAA,274,206,15,N,Player,
klingjo01h,1939,BBWAA,274,206,14,N,Player,
ruckena01h,1939,BBWAA,274,206,13,N,Player,
tinkejo01h,1939,BBWAA,274,206,12,N,Player,
adamsba01h,1939,BBWAA,274,206,11,N,Player,
traynpi01h,1939,BBWAA,274,206,10,N,Player,
heilmha01h,1939,BBWAA,274,206,8,N,Player,
roushed01h,1939,BBWAA,274,206,8,N,Player,
careyma01h,1939,BBWAA,274,206,7,N,Player,
dinnebi01h,1939,BBWAA,274,206,7,N,Player,
nichoki01h,1939,BBWAA,274,206,7,N,Player,
altroni01h,1939,BBWAA,274,206,6,N,Player,
chesbja01h,1939,BBWAA,274,206,6,N,Player,
crawfsa01h,1939,BBWAA,274,206,6,N,Player,
lewisdu01h,1939,BBWAA,274,206,6,N,Player,
rusieam01h,1939,BBWAA,274,206,6,N,Player,
stengca01h,1939,BBWAA,274,206,6,N,Manager,
donlimi01h,1939,BBWAA,274,206,5,N,Player,
hoopeha01h,1939,BBWAA,274,206,5,N,Player,
kerrdi01h,1939,BBWAA,274,206,5,N,Player,
wallabo01h,1939,BBWAA,274,206,5,N,Player,
gowdyha01h,1939,BBWAA,274,206,4,N,Player,
marquru01h,1939,BBWAA,274,206,4,N,Player,
mcinnst01h,1939,BBWAA,274,206,4,N,Player,
wheatza01h,1939,BBWAA,274,206,4,N,Player,
archeji01h,1939,BBWAA,274,206,3,N,Player,
combsea01h,1939,BBWAA,274,206,3,N,Player,
faberre01h,1939,BBWAA,274,206,3,N,Player,
mccarjo99h,1939,BBWAA,274,206,3,N,Manager,
tennefr02h,1939,BBWAA,274,206,3,N,Player,
bushdo01h,1939,BBWAA,274,206,2,N,Player,
carribi02h,1939,BBWAA,274,206,2,N,Player,
cravaga01h,1939,BBWAA,274,206,2,N,Player,
crigelo01h,1939,BBWAA,274,206,2,N,Player,
donovbi01h,1939,BBWAA,274,206,2,N,Player,
ewingbu01h,1939,BBWAA,274,206,2,N,Player,
granted01h,1939,BBWAA,274,206,2,N,Player,
loberha01h,1939,BBWAA,274,206,2,N,Player,
schreos01h,1939,BBWAA,274,206,2,N,Player,
woodjo02h,1939,BBWAA,274,206,2,N,Player,
bancrda01h,1939,BBWAA,274,206,1,N,Player,
barryja01h,1939,BBWAA,274,206,1,N,Player,
bergema01h,1939,BBWAA,274,206,1,N,Player,
bradlbi01h,1939,BBWAA,274,206,1,N,Player,
burnsge01h,1939,BBWAA,274,206,1,N,Player,
coopewi01h,1939,BBWAA,274,206,1,N,Player,
crossla01h,1939,BBWAA,274,206,1,N,Player,
daubeja01h,1939,BBWAA,274,206,1,N,Player,
doylela01h,1939,BBWAA,274,206,1,N,Player,
fletcar01h,1939,BBWAA,274,206,1,N,Player,
frasech01h,1939,BBWAA,274,206,1,N,Player,
gleaski01h,1939,BBWAA,274,206,1,N,Player,
grimebu01h,1939,BBWAA,274,206,1,N,Player,
grimmch01h,1939,BBWAA,274,206,1,N,Player,
hahnno01h,1939,BBWAA,274,206,1,N,Player,
haineje01h,1939,BBWAA,274,206,1,N,Player,
harribu01h,1939,BBWAA,274,206,1,N,Manager,
hoytwa01h,1939,BBWAA,274,206,1,N,Player,
irwinch01h,1939,BBWAA,274,206,1,N,Player,
jonessa01h,1939,BBWAA,274,206,1,N,Player,
kellejo01h,1939,BBWAA,274,206,1,N,Player,
knabeot01h,1939,BBWAA,274,206,1,N,Player,
leachto01h,1939,BBWAA,274,206,1,N,Player,
longhe01h,1939,BBWAA,274,206,1,N,Player,
luquedo01h,1939,BBWAA,274,206,1,N,Player,
mageesh01h,1939,BBWAA,274,206,1,N,Player,
moranpa01h,1939,BBWAA,274,206,1,N,Player,
nehfar01h,1939,BBWAA,274,206,1,N,Player,
peckiro01h,1939,BBWAA,274,206,1,N,Player,
peitzhe01h,1939,BBWAA,274,206,1,N,Player,
perduhu01h,1939,BBWAA,274,206,1,N,Player,
phillde01h,1939,BBWAA,274,206,1,N,Player,
schacal01h,1939,BBWAA,274,206,1,N,Player,
scottev01h,1939,BBWAA,274,206,1,N,Player,
shockur01h,1939,BBWAA,274,206,1,N,Player,
stahlja01h,1939,BBWAA,274,206,1,N,Player,
steinha01h,1939,BBWAA,274,206,1,N,Player,
wilsoha01h,1939,BBWAA,274,206,1,N,Player,
ansonca01h,1939,Old Timers,,,,Y,Player,
comisch01h,1939,Old Timers,,,,Y,Pioneer/Executive,
cummica01h,1939,Old Timers,,,,Y,Pioneer/Executive,
ewingbu01h,1939,Old Timers,,,,Y,Player,
gehrilo01h,1939,Special Election,,,,Y,Player,
radboch01h,1939,Old Timers,,,,Y,Player,
spaldal01h,1939,Old Timers,,,,Y,Pioneer/Executive,
hornsro01h,1942,BBWAA,233,175,182,Y,Player,
chancfr01h,1942,BBWAA,233,175,136,N,Player,
wadderu01h,1942,BBWAA,233,175,136,N,Player,
walshed01h,1942,BBWAA,233,175,113,N,Player,
huggimi01h,1942,BBWAA,233,175,111,N,Manager,
delahed01h,1942,BBWAA,233,175,104,N,Player,
eversjo01h,1942,BBWAA,233,175,91,N,Player,
robinwi01h,1942,BBWAA,233,175,89,N,Manager,
cochrmi01h,1942,BBWAA,233,175,88,N,Player,
friscfr01h,1942,BBWAA,233,175,84,N,Player,
duffyhu01h,1942,BBWAA,233,175,77,N,Player,
pennohe01h,1942,BBWAA,233,175,72,N,Player,
griffcl01h,1942,BBWAA,233,175,71,N,Pioneer/Executive,
colliji01h,1942,BBWAA,233,175,68,N,Player,
maranra01h,1942,BBWAA,233,175,66,N,Player,
jennihu01h,1942,BBWAA,233,175,64,N,Player,
brownmo01h,1942,BBWAA,233,175,63,N,Player,
planked01h,1942,BBWAA,233,175,63,N,Player,
mcginjo01h,1942,BBWAA,233,175,59,N,Player,
clarkfr01h,1942,BBWAA,233,175,58,N,Player,
bresnro01h,1942,BBWAA,233,175,57,N,Player,
bendech01h,1942,BBWAA,233,175,55,N,Player,
schalra01h,1942,BBWAA,233,175,53,N,Player,
traynpi01h,1942,BBWAA,233,175,45,N,Player,
youngro01h,1942,BBWAA,233,175,44,N,Player,
bakerfr01h,1942,BBWAA,233,175,39,N,Player,
vanceda01h,1942,BBWAA,233,175,37,N,Player,
terrybi01h,1942,BBWAA,233,175,36,N,Player,
tinkejo01h,1942,BBWAA,233,175,36,N,Player,
jossad01h,1942,BBWAA,233,175,33,N,Player,
klingjo01h,1942,BBWAA,233,175,15,N,Player,
ruckena01h,1942,BBWAA,233,175,15,N,Player,
adamsba01h,1942,BBWAA,233,175,11,N,Player,
gowdyha01h,1942,BBWAA,233,175,8,N,Player,
